Dream Description,Lucidity,Emotional Intensity,Realism,Fear Level,Joy Level,Control Over Dream,Symbolism Strength,Memory Recall After Waking,Strangeness,Vividness
I was flying over a city and couldn't land.,0.81,0.17,0.57,0.87,0.64,0.9,1.0,0.33,0.26,0.87
I was late for an important exam and forgot where the room was.,0.61,0.77,0.94,0.74,0.01,0.97,0.07,0.54,0.86,0.72
I was chased by a faceless figure through an endless forest.,0.68,0.47,0.68,0.8,0.03,0.49,0.43,0.36,0.35,0.16
I found a secret door inside my childhood home.,0.87,0.61,0.78,0.2,0.71,0.89,0.01,0.51,0.99,0.81
I was speaking fluently in a language I've never learned.,0.62,1.0,0.16,0.37,0.2,0.67,0.27,0.29,0.43,0.44
I was trapped inside a video game world.,0.95,0.91,0.89,0.75,0.15,0.78,0.72,0.59,0.9,0.35
I was climbing a mountain that kept getting taller.,0.51,0.14,0.98,0.13,0.47,0.49,0.14,0.71,0.22,0.95
"I was underwater, breathing normally, exploring shipwrecks.",0.91,0.94,0.34,0.0,0.91,0.5,0.93,0.66,0.12,0.65
I attended a wedding where I didn't know anyone.,0.19,0.33,0.27,0.43,0.91,0.42,0.18,0.16,0.21,0.86
I was performing on stage but forgot my lines.,0.9,0.81,0.88,0.54,0.4,0.34,0.21,0.03,0.23,0.94
I was floating in space with no spaceship.,0.35,0.44,0.65,0.89,0.76,0.59,0.56,0.68,0.59,0.96
I met an old friend who had turned into an animal.,0.67,0.75,0.2,0.38,0.7,0.53,0.89,0.99,0.29,0.07
I kept falling endlessly through colorful tunnels.,0.6,0.65,0.55,0.82,0.94,0.79,0.26,0.23,0.54,0.71
I woke up inside my dream multiple times.,0.35,0.02,0.75,0.77,0.21,0.63,0.24,0.45,0.15,0.97
I was searching for a missing key in a huge castle.,0.37,0.85,0.15,0.12,0.21,0.18,0.34,0.92,0.65,0.12
I was arguing with my boss over nonsensical rules.,0.48,0.09,0.72,0.52,0.82,0.12,0.92,0.31,0.05,0.55
I found myself back in elementary school.,0.98,0.15,0.4,0.42,0.08,0.34,0.28,0.41,0.96,0.24
I discovered I could walk through walls.,0.68,0.68,0.97,0.67,0.93,0.33,0.83,0.23,0.09,0.5
I met my future self who gave strange advice.,0.46,0.55,0.97,0.35,0.47,0.27,0.47,0.27,0.02,0.14
I was stuck in a repeating cycle of the same event.,0.98,0.98,0.29,0.87,0.35,0.29,0.49,0.54,0.71,0.88
I was surfing giant waves under a purple sunset.,0.88,0.74,0.65,0.95,0.1,0.36,0.75,0.36,0.95,0.81
I met an ancient wizard who showed me a magical library.,0.7,0.71,0.48,0.87,0.78,0.14,0.04,0.12,0.2,0.36
I was stuck in a maze where walls kept shifting.,0.23,0.61,0.55,0.62,0.84,0.88,0.68,0.39,0.21,0.74
I was climbing an endless staircase made of clouds.,0.34,0.68,0.79,0.93,0.5,0.82,0.1,0.26,0.89,0.56
I found a treasure chest buried in my backyard.,0.02,0.6,0.31,0.31,0.1,0.08,0.65,0.33,0.7,0.46
I was arguing with my reflection in a mirror.,0.36,0.95,0.02,0.06,0.98,0.37,0.3,0.64,0.61,0.12
I traveled back in time and met my childhood self.,0.55,0.97,0.57,0.93,0.95,0.47,0.7,0.52,0.85,0.7
I was painting murals on the walls of a moving train.,0.81,0.83,0.14,0.93,0.3,0.98,0.76,0.97,0.47,0.6
I was rescuing animals from a sinking island.,0.77,0.98,0.58,0.18,0.65,0.97,0.25,0.65,0.25,0.35
I transformed into a bird and soared over mountains.,0.42,0.13,0.61,0.18,0.14,0.41,0.69,0.82,0.64,0.37
I was on a rollercoaster that never ended.,0.53,0.87,0.06,0.7,0.21,0.18,0.92,0.52,0.33,0.09
I was attending a festival in a floating city.,0.93,0.57,0.15,0.31,0.21,0.69,0.13,0.54,0.19,0.61
I spoke to trees that whispered secrets.,0.44,1.0,0.6,0.49,0.54,0.61,0.86,0.51,0.09,0.87
I found myself swimming with giant turtles in crystal waters.,0.38,0.21,0.99,0.14,0.69,0.23,0.13,0.97,0.03,0.02
I was locked inside a giant clock tower.,0.33,0.24,0.46,0.83,0.04,0.08,0.74,0.24,0.33,0.37
I wandered through a desert where the sand sang.,0.19,0.26,0.94,0.58,0.63,0.43,0.58,0.04,0.64,0.64
I discovered I could breathe underwater.,0.3,0.61,0.77,0.63,0.36,0.43,0.75,0.1,0.45,0.41
I was baking an endless cake for thousands of guests.,0.87,0.69,0.33,0.19,0.61,0.01,0.81,0.88,0.71,0.72
I saw the stars forming words in the sky.,0.96,0.66,0.68,0.63,0.56,0.01,0.07,0.22,0.87,0.11
I was on a mission to save a crumbling planet.,0.03,0.77,0.55,0.07,0.1,0.11,0.41,0.71,0.1,0.08
I was building a spaceship with my friends.,0.11,0.21,0.2,0.66,0.17,0.58,0.75,0.73,0.25,0.95
I was dancing at a party on the Moon.,0.41,0.56,0.91,0.73,0.14,0.12,0.76,0.83,0.04,0.47
I received a letter from a forgotten friend.,0.28,0.79,0.41,0.03,0.97,0.83,0.6,0.93,0.08,0.92
I found a hidden door behind my closet.,0.07,0.02,0.38,0.26,0.0,0.61,0.11,0.44,0.77,0.13
I was riding a train through different dimensions.,0.09,0.72,0.19,0.22,0.7,0.86,0.54,0.98,0.17,0.46
I was the ruler of a candy kingdom.,0.31,0.86,0.58,0.16,0.49,0.59,0.04,0.41,0.99,0.23
I was racing against talking cars.,0.84,0.4,0.1,0.08,0.14,0.38,0.75,0.14,0.05,0.51
I got lost inside a giant library of floating books.,0.95,0.31,0.94,0.92,0.76,0.23,0.03,0.74,0.61,0.57
I was swimming in a pool filled with glitter.,0.7,0.77,0.53,0.22,0.02,0.03,0.71,0.6,0.62,0.78
I climbed a beanstalk into a land of giants.,0.73,0.02,0.13,0.7,0.02,0.41,0.7,0.8,0.55,0.38
I attended a school for dream travelers.,0.18,0.93,0.33,0.06,0.31,0.53,0.6,0.89,0.84,0.83
I was solving mysteries with a group of talking cats.,0.83,0.85,0.11,0.22,0.77,0.73,0.9,0.12,0.44,0.92
I was gifted a magical pen that brought drawings to life.,0.67,0.24,1.0,0.13,0.95,0.02,0.32,0.42,0.44,0.02
I explored underwater caves glowing with neon plants.,0.09,0.63,0.92,0.56,0.08,0.99,0.72,0.98,0.98,0.14
I was a character inside a video game.,0.65,0.65,0.52,0.94,0.54,0.03,0.1,0.49,0.1,0.05
I floated across a river of glowing lava.,0.82,0.27,0.9,0.73,0.62,0.47,0.15,0.19,0.84,0.04
I was fighting a dragon made of shadows.,0.72,0.84,0.61,0.77,0.97,0.83,0.67,0.42,0.26,0.1
I was sculpting statues that came alive.,0.7,0.29,0.14,0.31,0.69,0.04,0.16,0.72,0.14,0.53
I was skating on a frozen rainbow.,0.84,0.9,0.78,0.47,0.04,0.2,0.84,0.16,0.44,0.56
I witnessed a garden blooming instantly with music.,0.27,0.2,0.15,0.78,0.27,0.43,0.58,0.09,0.85,0.53
I traveled in a time machine shaped like a carousel.,0.74,0.85,0.13,0.71,0.2,0.67,0.39,0.57,0.58,0.62
I unlocked a secret map hidden in an old book.,0.49,0.67,0.48,0.3,0.23,0.09,0.79,0.82,0.67,0.55
I was ice climbing in a city made of crystal.,0.95,0.55,0.72,0.78,0.81,0.64,0.67,0.2,0.16,0.97
I made friends with a lonely ghost in a mansion.,0.07,0.01,0.27,0.32,0.25,0.89,0.27,0.29,0.16,0.3
I raced in flying ships across colorful skies.,0.34,0.06,0.2,0.75,0.15,0.02,0.09,0.2,0.5,0.71
I was riding a giant rabbit through enchanted forests.,0.91,0.13,0.11,0.76,0.89,0.48,0.99,0.37,0.28,0.59
I woke up inside a painting in an art gallery.,0.98,0.04,0.87,0.8,0.64,0.3,0.79,0.66,0.83,0.17
I battled monsters to protect a sacred tree.,0.83,0.75,0.59,0.3,0.02,0.73,0.23,0.77,0.2,0.63
I was exploring abandoned theme parks in the mist.,0.8,0.34,0.33,0.49,0.36,0.85,0.16,0.6,0.77,0.21
I was carrying a glowing orb through a dark world.,0.99,0.75,0.26,0.12,0.03,0.85,0.57,0.2,0.95,0.65
I walked on streets that changed every time I blinked.,0.69,0.55,0.37,0.23,0.12,0.67,0.11,0.94,0.82,0.57
I was trapped in a house full of endless mirrors.,0.65,0.46,0.25,0.85,0.17,0.45,0.28,0.7,0.98,0.93
I watched clouds form detailed stories in the sky.,0.44,0.87,0.2,0.12,0.15,0.14,0.45,0.15,0.14,0.21
I was attending a banquet where food sang songs.,0.05,0.87,0.18,0.1,0.49,0.39,0.97,0.7,0.12,0.58
I discovered a river that reversed time.,0.26,0.01,0.27,0.51,0.32,0.41,0.83,0.43,0.47,0.27
I became friends with a mischievous wind spirit.,0.18,0.91,0.39,0.79,0.33,0.43,0.41,0.34,0.47,0.9
I found a mountain that whispered riddles.,0.2,0.32,0.1,0.83,0.28,0.42,0.94,0.26,0.65,0.96
I uncovered a hidden city beneath my school.,0.73,0.01,0.08,0.92,0.06,0.16,0.32,0.58,0.19,0.83
I rode a mechanical dragon through neon skies.,0.61,0.89,0.55,0.55,0.33,0.05,0.64,0.7,0.26,0.59
I was lost inside a painting museum at night.,0.78,0.71,0.86,0.57,0.66,0.31,0.12,0.78,0.2,0.56
I crossed bridges made entirely of spider webs.,0.09,0.67,0.03,0.6,0.44,0.8,0.93,0.22,0.69,0.07
I found keys hanging from floating trees.,0.81,0.19,0.55,0.27,0.43,0.35,0.14,0.29,0.88,0.62
I dined with mythical creatures in a grand hall.,0.76,0.29,0.32,0.39,0.77,0.83,0.97,0.96,0.64,0.03
I turned invisible but couldn't control it.,0.71,0.6,0.88,0.65,0.39,0.96,0.52,0.25,0.31,0.51
I discovered an abandoned robot playground.,0.12,0.45,1.0,0.65,0.57,0.92,0.25,0.13,0.09,0.02
I sang to flowers that grew instantly.,0.72,0.47,0.82,0.11,0.45,0.09,0.47,0.11,0.45,0.03
I was in a labyrinth with doors that led to memories.,0.02,0.94,0.73,0.58,0.54,0.48,0.18,0.19,0.08,0.82
I was a superhero but had forgotten my powers.,0.45,0.25,0.98,0.51,0.32,0.35,0.59,0.57,0.82,0.33
I climbed stairs that circled planets.,0.77,0.44,0.33,0.77,0.87,0.56,0.73,0.63,0.72,0.6
I raced through dream tunnels on a glowing bike.,0.56,0.4,0.13,0.9,0.87,0.72,0.94,0.25,0.77,0.65
I befriended a phoenix who taught me to fly.,0.63,0.68,0.02,0.97,0.14,0.61,0.0,0.88,0.9,0.89
I dove into a book and lived its story.,0.12,0.23,0.07,0.61,0.34,0.94,0.8,0.6,0.89,0.6
I played chess with a talking moon.,0.55,0.69,0.54,0.38,0.15,0.75,0.66,0.44,0.97,0.32
I visited a museum where exhibits came alive.,0.46,0.62,0.56,0.4,0.92,0.45,0.84,0.37,0.32,0.93
I became a giant in a world of tiny people.,0.41,0.97,0.89,0.52,0.25,0.08,0.14,0.95,0.24,0.02
I floated with jellyfish through an endless sky.,0.07,0.04,0.32,0.34,0.71,0.03,0.91,0.6,0.42,0.9
I solved riddles inside a golden pyramid.,0.2,0.81,0.78,0.19,0.61,0.53,0.32,0.8,0.8,0.57
I was captain of a ship sailing rainbow oceans.,0.43,0.73,0.63,0.15,0.91,0.16,0.83,0.45,0.62,0.48
I was teaching magical creatures in a hidden academy.,0.6,0.57,0.26,0.95,0.84,0.92,0.19,0.56,0.93,0.76
I crossed ice fields lit by shooting stars.,0.62,0.72,0.19,0.97,0.25,0.86,0.18,0.29,0.67,0.37
